商品名,正規化商品名,カテゴリ,品目区分,標準販売価格,原価,原価注記
【BEER】After Dinner Craft Beer Gift Set （370ml）〈Barrel Wonder Amber Ale 001 / Eisbock Wonder 001 各1本〉,【BEER】After Dinner Craft Beer Gift Set （370ml）〈Barrel Wonder Amber Ale 001 / Eisbock Wonder 001 各1本〉,ビール,完成品,4900,1960,
【BEER】After Dinner Craft Beer Gift Set （370ml）〈Barrel Wonder Amber Ale 001 / Eisbock Wonder 001 各1本〉★特別価格,【BEER】After Dinner Craft Beer Gift Set （370ml）〈Barrel Wonder Amber Ale 001 / Eisbock Wonder 001 各1本〉★特別価格,ビール,完成品,3920,1570,
【BEER】Barrel   2本（370ml）,【BEER】Barrel 2本（370ml）,ビール,完成品,3200,1280,
【BEER】Eisbock  2本（370ml）,【BEER】Eisbock 2本（370ml）,ビール,完成品,4600,1840,
【BEER】Gift Set （370ml）〈BW / EW 各1本〉,【BEER】Gift Set （370ml）〈BW / EW 各1本〉,ビール,完成品,4900,1960,
【BEER】Non Ale Wonder 飲み比べセット 3本（370ml）〈ギフトセット〉,【BEER】Non Ale Wonder 飲み比べセット 3本（370ml）〈ギフトセット〉,ビール,完成品,3000,1200,
【BEER】Yuzu 2本（310ml）,【BEER】Yuzu 2本（310ml）,ビール,完成品,6500,2600,
【BEER】Yuzu White Wonder  2本（310ml）★特別価格,【BEER】Yuzu White Wonder 2本（310ml）★特別価格,ビール,完成品,1280,510,
【BEER】Yuzu White Wonder  6本（310ml）〈お中元〉,【BEER】Yuzu White Wonder 6本（310ml）〈お中元〉,ビール,完成品,5300,2120,
【BEER】〈BW / EW 各1本〉Gift Set （370ml）,【BEER】〈BW / EW 各1本〉Gift Set （370ml）,ビール,完成品,4900,1960,
【BEER】〈ギフトセット〉Barrel   2本（370ml）,【BEER】〈ギフトセット〉Barrel 2本（370ml）,ビール,完成品,4200,1680,
【BEER】〈ギフトセット〉Eisbock  2本（370ml）,【BEER】〈ギフトセット〉Eisbock 2本（370ml）,ビール,完成品,5600,2240,
【BEER】〈ギフトセット〉Yuzu 2本（310ml）,【BEER】〈ギフトセット〉Yuzu 2本（310ml）,ビール,完成品,,,
【BEER】〈ギフトセット〉Yuzu 6本（310ml）,【BEER】〈ギフトセット〉Yuzu 6本（310ml）,ビール,完成品,3780,1510,
【ビール】Barrel Wonder（310ml）,【ビール】Barrel Wonder（310ml）,ビール,完成品,1050,420,
【ビール】Barrel Wonder（370ml）,【ビール】Barrel Wonder（370ml）,ビール,完成品,,,
【ビール】Eisbock Wonder（310ml）,【ビール】Eisbock Wonder（310ml）,ビール,完成品,1505,600,
【ビール】Eisbock Wonder（370ml）,【ビール】Eisbock Wonder（370ml）,ビール,完成品,,,
【ビール】Non Ale Wonder 0.00%（370ml）〈Ginger〉,【ビール】Non Ale Wonder 0.00%（370ml）〈Ginger〉,ビール,完成品,,,
【ビール】Non Ale Wonder 0.00%（370ml）〈Yuzu〉,【ビール】Non Ale Wonder 0.00%（370ml）〈Yuzu〉,ビール,完成品,,,
【ビール】Non Ale Wonder 0.00%（370ml）〈ベーシック〉,【ビール】Non Ale Wonder 0.00%（370ml）〈ベーシック〉,ビール,完成品,,,
【ビール】Non Ale Wonder 0.5%（310ml）,【ビール】Non Ale Wonder 0.5%（310ml）,ビール,完成品,480,190,
【ビール】Yuzu White Wonder （310ml）,【ビール】Yuzu White Wonder （310ml）,ビール,完成品,480,190,
社販【BEER】Barrel   2本（370ml）,社販【BEER】Barrel 2本（370ml）,ビール,完成品,1440,580,
社販【BEER】Eisbock  6本（370ml）,社販【BEER】Eisbock 6本（370ml）,ビール,完成品,6720,2690,
社販【BEER】Yuzu 12本（310ml）,社販【BEER】Yuzu 12本（310ml）,ビール,完成品,4800,1920,
社販【BEER】Yuzu 2本（310ml）,社販【BEER】Yuzu 2本（310ml）,ビール,完成品,800,320,
【LIQUEUR】〈ギフトセット〉MANGO 002（200ml）,【LIQUEUR】〈ギフトセット〉MANGO 002（200ml）,リキュール,完成品,7500,3000,
【LIQUEUR】〈ギフトセット〉STRAWBERRY（200ml）,【LIQUEUR】〈ギフトセット〉STRAWBERRY（200ml）,リキュール,完成品,6500,2600,
【リキュール】MANGO WONDER [Limited] （Keitt Mango）★特別価格★,【リキュール】MANGO WONDER [Limited] （Keitt Mango）★特別価格★,リキュール,完成品,3000,1200,
【リキュール】MANGO WONDER（200ml）〈001〉,【リキュール】MANGO WONDER（200ml）〈001〉,リキュール,完成品,7500,3000,
【リキュール】MANGO WONDER（200ml）〈002〉,【リキュール】MANGO WONDER（200ml）〈002〉,リキュール,完成品,,,
【リキュール】MANGO WONDER（500ml）〈001〉,【リキュール】MANGO WONDER（500ml）〈001〉,リキュール,完成品,6000,2400,
【リキュール】MANGO WONDER（500ml）〈002〉,【リキュール】MANGO WONDER（500ml）〈002〉,リキュール,完成品,,,
【リキュール】MANGO WONDER（500ml）〈リニューアル版〉,【リキュール】MANGO WONDER（500ml）〈リニューアル版〉,リキュール,完成品,4500,1800,
【リキュール】STRAWBERRY WONDER（200ml）,【リキュール】STRAWBERRY WONDER（200ml）,リキュール,完成品,2500,1000,
【リキュール】STRAWBERRY WONDER（500ml）〈卸専売品〉★古都華なしver,【リキュール】STRAWBERRY WONDER（500ml）〈卸専売品〉★古都華なしver,リキュール,完成品,4000,1600,
【卸専売品】STRAWBERRY WONDER 500ml（リニューアル版）,【卸専売品】STRAWBERRY WONDER 500ml（リニューアル版）,リキュール,完成品,4000,1600,
【化粧箱】Rice Whisky Wonder MIZUNARA Aged 14 years 専用箱〈専用資材〉,【化粧箱】Rice Whisky Wonder MIZUNARA Aged 14 years 専用箱〈専用資材〉,化粧箱,資材,,250,
【化粧箱】ウイスキーギフトボックス（700ml）〈共通資材〉,【化粧箱】ウイスキーギフトボックス（700ml）〈共通資材〉,化粧箱,資材,,250,
【化粧箱】ビールギフトボックス（310ml用）〈2本セット〉,【化粧箱】ビールギフトボックス（310ml用）〈2本セット〉,化粧箱,資材,,250,
【化粧箱】ビールギフトボックス（310ml用）〈6本セット〉,【化粧箱】ビールギフトボックス（310ml用）〈6本セット〉,化粧箱,資材,,250,
【化粧箱】ビールギフトボックス（370ml）〈2本セット〉,【化粧箱】ビールギフトボックス（370ml）〈2本セット〉,化粧箱,資材,,250,
【化粧箱】リキュール用（200ml）〈共通資材〉,【化粧箱】リキュール用（200ml）〈共通資材〉,化粧箱,資材,,250,
【同梱物】BW/EW リーフレット（A6）〈2つ折り〉,【同梱物】BW/EW リーフレット（A6）〈2つ折り〉,同梱物,資材,,30,
【同梱物】Rice Whisky Wonder MIZUNARA Aged 14 years リーフレット（A6）〈2つ折り〉,【同梱物】Rice Whisky Wonder MIZUNARA Aged 14 years リーフレット（A6）〈2つ折り〉,同梱物,資材,,30,
【同梱物】STRAWBERRY WONDER リーフレット（正方形）〈3つ折り〉,【同梱物】STRAWBERRY WONDER リーフレット（正方形）〈3つ折り〉,同梱物,資材,,30,
【同梱物】STRAWBERRY WONDER 飲み方カード（名刺サイズ）,【同梱物】STRAWBERRY WONDER 飲み方カード（名刺サイズ）,同梱物,資材,,30,
【同梱物】Yuzu White Wonder フライヤー（A6）,【同梱物】Yuzu White Wonder フライヤー（A6）,同梱物,資材,,30,
